verse	iliad	note
1	1.1	
2	1.2	
3	1.3–4	
4	1.4–5	
5	1.4–5	
6	1.5	
7	1.6	
8	1.7	
9	1.8	
10	1.9	
11	1.9–10	
12	1.10	
13	1.11–14	
14	1.13	
15	—	
16	—	
17	—	
18	—	
19	1.12, 1.15	
20	1.15–19	
21	1.20	
22	1.13, 1.20–22	
23	1.22–23	Myrmidones: Homer has all the Achaeans
24	1.24–25, 1.32	
25	1.25	
26	—	
27	1.33–35	
28	—	
29	—	
30	1.35	
31	1.35–36	
32	1.37, 1.39	
33	—	
34	1.40–41	
35	—	
36	—	
37	—	
38	—	
39	—	
40	1.42	inverted: Homer asks that the Danaans be shot
41	—	
42	—	
43	—	
44	1.43	
45	1.44–50	
46	1.50–52	
47	1.52	
48	1.52–53	
49	1.53	
50	1.54	
51	1.54, 1.59–64	
52	1.62–64, 1.68–69	
53	1.70–72	
54	1.74–91	
55	1.93–97	
56	1.98–99	
57	1.100	
58	1.101–104	
59	1.105–108	
60	1.106–108, 1.131–147	
61	1.149–171, 1.225–244	
62	1.304–305?	
63	1.116–117	
64	1.308–311, 1.440–441	
65	1.309–311	
66	1.310–312, 1.430–439	
67	1.478–487	
68	1.457, 1.472–474	
69	1.456	
70	—	
71	—	
72	1.318–325, 1.345–348	
73	—	
74	1.188–194	
75	1.190–191	
76	—	
77	—	
78	1.194–200	
79	—	
80	—	
81	1.348–357	
82	1.352–356	
83	1.357–361	
84	1.359–360, 1.421–422	
85	1.422, 1.496–497	
86	1.497	
87	1.498–501	
88	1.502–503	
89	1.503–505, 1.508	
90	1.505–507	
91	1.507	
92	—	
93	1.517–518	
94	1.523	
95	—	
96	1.531–532	
97	1.532	
98	1.536–539	
99	1.555–559	
100	—	cf. 4.60–61
101	1.559	
102	1.559	
103	1.540–543	
104	1.539	
105	1.560–569	
106	1.571–600	
107	—	cf. 1.606
108	1.605	
109	1.601–604	
110	1.606–611	
111	2.1–2	
112	2.1–2	
113	2.3–7	
114	2.8	
